t,LEAD1/LA,LEAD2/LL,LEAD3/RA,V1'/V1,V2'/V2,PACE,RESPPM,RESPPH,LOFF,GPIO,CRC
68,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
69,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
70,9c660152,243d0b56,00000068,0000006c,02000074,000000c0,20e4ff45,,c05bf44b,,
71,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
72,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
73,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
74,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,00000000,,
75,11000000,127f827f,135f12fd,146a59fb,15817c4d,1aee46fb,1b000000,,1d000000,,
76,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
77,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
78,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
79,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,00000000,,
80,11000000,122fda7f,13606bfb,14c9aef9,15d5346e,1a09fdf9,1b000000,,1d000000,,
81,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
82,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
83,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
84,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,00000000,,
85,11000000,1223ca7f,1395d5fb,147e2bfa,1539336a,1aa2fff9,1b000000,,1d000000,,
86,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
87,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
88,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
89,c574c01f,909c4060,8464c960,c4a6ea5f,eca66fa0,04000000,c4f1dd5f,,c485f2be,,
90,e893306a,da9b188f,93a600c9,daab7015,420e6a26,80803d1b,ff8f0000,,fb932043,,
91,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
92,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
93,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
94,b44c4651,0408f657,00000068,0000006c,02000074,000000c0,9c8ffe45,,9ca8fd4b,,
95,00040000,8b000000,97108bfc,9f504ffb,a1683fed,afc89db8,d018cdec,,d8000000,,
96,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
97,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
98,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
99,c518e71f,90904060,c4a11640,842cea5f,2c7b6fa0,04000000,84abea5f,,445ed9bf,,
